variable,label,labelLong,subject,section,variableType,databaseStart,units,variableStart,notes,description
age,age,in years,demographic,age,cont,pbc,years,[age],,
albumin,albumin,serum albumin,lab test,albumin,cont,pbc,g/dl,[albumin],,
alk.phos,alk.phos,alkaline phosphotase,lab test,alk.phos,cont,pbc,U/L,[alk.phos],,
ascites,ascites,prescence of ascites,physical symptom,ascites,cat,pbc,N/A,[ascites],,
ast,ast,"aspartate aminotransferase, once called SGOT",lab test,ast,cont,pbc,U/L,[ast],,
bili,bili,serum bilirunbin,lab test,bili,cont,pbc,mg/dl,[bili],,
chol,chol,serum cholesterol,lab test,chol,cont,pbc,mg/dl,[chol],,
copper,copper,urine copper,lab test,copper,cont,pbc,ug/dl,[copper],,
edema,edema,edema,physical symptom,edema,cat,pbc,N/A,[edema],,
hepato,hepato,prescence of hepatomegaly or enlarged liver,physical symptom,hepato,cat,pbc,N/A,[hepato],,
platelet,platelet,platelet count,lab test,platelet,cont,pbc,N/A,[platelet],,
protime,protime,standarized blood clotting time,lab test,protime,cont,pbc,N/A,[protime],,
sex,sex,sex,demographic,sex,cat,pbc,N/A,[sex],,
spiders,spiders,blood vessel malformations in the skin,physical symptom,spiders,cat,pbc,N/A,[spiders],,
stage,stage,histologic stage of disease (needs biopsy),lab test,stage,cat,pbc,N/A,[stage],,
status,status,status at endpoint,study,status,cat,pbc,N/A,[status],,
time,time,"number of days between registration and the earlier of death,
transplantion, or study analysis in July, 1986",study,time,cont,pbc,days,[time],,
trig,trig,	triglycerides,lab test,trig,cont,pbc,mg/dl,[trig],,
trt,treatment,treatment,exposure,trt,cat,pbc,N/A,[trt],,
id,case number,case number,study identifiction,ID,cont,pbc,N/A,[id],,
