variable,dummyVariable,typeEnd,typeStart,databaseStart,variableStart,variableStartLabel,numValidCat,recEnd,catLabel,catLabelLong,units,recStart,catStartLabel,variableStartShortLabel,notes
age,NA,cont,cont,tester1; tester2,[age],age,NA,copy,NA,NA,NA,"[20,80]",NA,age,NA
age,NA,cont,cont,tester1; tester2,[age],age,NA,NA::b,missing,missing,NA,else,NA,age,NA
age,NA,cont,cont,tester1; tester2,[age],age,NA,NA::a,not applicable,not applicable,NA,999,NA,age,NA
albumin,NA,cont,cont,tester1; tester2,[albumin],albumin,NA,copy,NA,NA,NA,"[1,5]",NA,albumin,NA
albumin,NA,cont,cont,tester1; tester2,[albumin],albumin,NA,NA::b,missing,missing,NA,else,NA,albumin,NA
albumin,NA,cont,cont,tester1; tester2,[albumin],albumin,NA,NA::a,not applicable,not applicable,NA,99,NA,albumin,NA
alk.phos,NA,cont,cont,tester1; tester2,[alk.phos],alk.phos,NA,copy,NA,NA,NA,"[200,15000]",NA,alk.phos,NA
alk.phos,NA,cont,cont,tester1; tester2,[alk.phos],alk.phos,NA,NA::b,missing,missing,NA,else,NA,alk.phos,NA
ascites,ascites_cat3_1,cat,cat,tester1; tester2,[ascites],ascites,2,0,ascites 0,ascites 0,NA,0,ascites 0,ascites,NA
ascites,ascites_cat3_2,cat,cat,tester1; tester2,[ascites],ascites,2,1,ascites 1,ascites 1,NA,1,ascites 1,ascites,NA
ascites,ascites_cat3_NA::b,cat,cat,tester1; tester2,[ascites],ascites,2,NA::b,missing,missing,NA,else,ascites 0,ascites,NA
ascites,ascites_cat3_NA::a,cat,cat,tester1; tester2,[ascites],ascites,2,NA::a,not applicable,not applicable,NA,9,not applicable,NA,NA
alk.phos,NA,cont,cont,tester1; tester2,[alk.phos],alk.phos,NA,NA::a,not applicable,not applicable,NA,99999,NA,alk.phos,NA
ast,NA,cont,cont,tester1; tester2,[ast],ast,NA,copy,NA,NA,NA,"[20,500]",NA,ast,NA
ast,NA,cont,cont,tester1; tester2,[ast],ast,NA,NA::b,missing,missing,NA,else,NA,ast,NA
ast,NA,cont,cont,tester1; tester2,[ast],ast,NA,NA::a,not applicable,not applicable,NA,9999,NA,ast,NA
bili,NA,cont,cont,tester1; tester2,[bili],bili,NA,copy,NA,NA,NA,"[0,100]",NA,bili,NA
bili,NA,cont,cont,tester1; tester2,[bili],bili,NA,NA::b,missing,missing,NA,else,NA,bili,NA
chol,NA,cont,cont,tester1; tester2,[chol],chol,NA,copy,NA,NA,NA,"[100,2000]",NA,chol,NA
chol,NA,cont,cont,tester1; tester2,[chol],chol,NA,NA::b,missing,missing,NA,else,NA,chol,NA
chol,NA,cont,cont,tester1; tester2,[chol],chol,NA,NA::a,missing,missing,NA,9999,NA,chol,NA
copper,NA,cont,cont,tester1; tester2,[copper],copper,NA,copy,NA,NA,NA,"[0,1000]",NA,copper,NA
copper,NA,cont,cont,tester1; tester2,[copper],copper,NA,NA::b,missing,missing,NA,else,NA,copper,NA
edema,edema_cat3_1,cat,cat,tester1; tester2,[edema],edema,3,0,edema 0.0,edema 0.0,NA,0,edema 0.0,edema,NA
edema,edema_cat3_2,cat,cat,tester1; tester2,[edema],edema,3,0.5,edema 0.5,edema 0.5,NA,0.5,edema 0.5,edema,NA
edema,edema_cat3_3,cat,cat,tester1; tester2,[edema],edema,3,1,edema 1.0,edema 1.0,NA,1,edema 1.0,edema,NA
edema,edema_cat3_NA::b,cat,cat,tester1; tester2,[edema],edema,3,NA::b,missing,missing,NA,else,missing,edema,NA
edema,edema_cat3_NA::a,cat,cat,tester1; tester2,[edema],edema,3,NA::a,not applicable,not applicable,NA,9,not applicable,edema,NA
hepato,heapto_cat3_1,cat,cat,tester1; tester2,[hepato],hepato,2,0,hepato 0,hepato 0,NA,0,hepato 0,hepato,NA
hepato,heapto_cat3_1,cat,cat,tester1; tester2,[hepato],hepato,2,1,hepato 1,hepato 1,NA,1,hepato 1,hepato,NA
hepato,heapto_cat3_NA::a,cat,cat,tester1; tester2,[hepato],hepato,2,NA::b,missing,missing,NA,else,missing,hepato,NA
copper,NA,cont,cont,tester1; tester2,[copper],copper,NA,NA::a,missing,missing,NA,9999,NA,copper,NA
